filename,track_title,duration,bpm,artist,album,genre,subgenre,timeofday
150010984.mp3,Leave Here (vocal),03:25,110.0,Jacqriot,anf,pop,,
130112878.mp3,Jump (vocal),02:20,120.0,JQ,anf,pop__electronic,,
130134982.mp3,Rich Like Butter (vocal),02:15,125.0,NINI,anf,hip_hop,,
130136758.mp3,Watch Me Strut (vocal),02:18,125.0,NINI,anf,hip_hop,,
130141326.mp3,I Came To Win,02:23,140.0,NINI,anf,pop,,
130141406.mp3,I Deserve It,02:40,90.0,NINI,anf,pop,,
29591398.mp3,I'm Ready,02:12,72.5,Michael Tiernan,Spaces,pop,Adult Contemporary,
130143614.mp3,Trend Setter,02:32,85.0,JQ,anf,pop,,
130141006.mp3,Getting Fired Up,02:16,120.0,Olmos,anf,pop,,
130141102.mp3,Have Some Fun,02:34,120.0,JQ,anf,pop,,
130144078.mp3,We Do It,02:04,108.0,Olmos,anf,pop,,
130144254.mp3,Yeah We're Fired Up,02:08,150.0,Olmos,anf,pop,,
150004920.mp3,Fantasy (vocal),03:31,122.0,Kim Wallace,anf,pop__electronic,,
150004928.mp3,Dark side (vocal),03:50,80.01,Kim Wallace,anf,pop,,
130055212.mp3,Lovely (vocal),02:54,120.01,Amya Rodriquez,anf,nan,,
130089100.mp3,Wild & Free (vocal),02:19,129.0,Beckah Shae,anf,nan,,
130099142.mp3,Play The Beat (vocal),03:52,109.0,LA Sinclair,anf,nan,,
130099422.mp3,MYND (vocal),02:46,105.0,X-Fyle,anf,nan,,
130110414.mp3,Cosmic Love (vocal),02:41,130.0,H.B. Thal,anf,nan,,
130110486.mp3,On My Mind (vocal),02:45,90.0,H.B. Thal,anf,nan,,
130110686.mp3,Tik Tok (vocal),02:17,100.0,Keeana Kee,anf,nan,,
130111022.mp3,Grime (vocal),02:40,95.5,Sister Teeth,anf,nan,,
130098526.mp3,Break It Down (vocal),03:14,140.0,Staccato & Thomas Forever,anf,nan,,
130099950.mp3,Dirty (vocal),02:24,120.0,Kafeeno,anf,nan,,
130110950.mp3,Supernatural Chemistry (vocal),02:57,113.0,Possum Trot Poet,anf,nan,,
130110966.mp3,Anxiety (vocal),03:40,120.0,Sister Teeth,anf,nan,,
130110998.mp3,Feel Right (vocal),02:23,114.0,Sister Teeth,anf,nan,,
130052868.mp3,A Royal (vocal),03:38,110.0,Piper Landon,anf,nan,,
130053708.mp3,Cry (vocal),03:13,100.0,Shea Givens,anf,nan,,
130054484.mp3,Highs & Lows (vocal),02:41,75.0,Yomazzy,anf,nan,,
130054940.mp3,Im Here For U (vocal),02:15,75.0,Flake,anf,nan,,
130055668.mp3,OMGG (vocal) (clean),03:37,116.0,Fingazz,anf,nan,,
130056012.mp3,Pretty Girls (vocal),03:55,100.0,Fingazz,anf,nan,,
130066812.mp3,No I In U,03:07,120.0,Shea Givens,anf,nan,,
28972450.mp3,Smile,03:47,137.59,Aubrey Wood,Picking Petals - Extended Masters,nan,Adult Contemporary,
28984006.mp3,Simple To Me,03:51,123.99,Reggie Watts,Simplified,Pop,"Contemporary R&B, Dance Pop",
42195694.mp3,Luminous Eyes,06:31,116.55,Mokhov,Sun Bloom,nan,Ambient Beats,
42195598.mp3,Dream Spectrum,07:07,109.45,Mokhov,Sun Bloom,nan,Ambient Beats,
122022876.mp3,I Keep Falling (inst),02:31,110.0,JQ,anf,Pop; Disco; Dance Pop,,
130008012.mp3,Down the Line (inst),02:40,105.0,JQ,anf,Pop; Disco; Dance Pop,,
130027572.mp3,Beaming (vocal) (CLEAN),03:13,124.0,Taylar Elizza Beth,anf,Underground Hip Hop; Alternative,,
29718340.mp3,Amelia.mp3,04:13,114.0,Amo,Amo One,Pop,Electro Pop,
29618506.mp3,Retro Girl feat. Pete Mitchell (No More Kings Remix),03:58,122.0,Noah Silver, Sampler 2,Pop,Teen Pop,
29693218.mp3,Morrison Players,01:28,168.3,anf,anf,Holiday,,
29244814.mp3,Change MyMind (W&S Open Mix),02:44,107.0,BJSR,Change My Mind (W&S Open Mix),film_tv__kids,"News & Promos, Quirky Music",
130080516.mp3,Lets Fly,03:08,120.0,Black N White Guy,anf,nan,,
29588674.mp3,Feeling Always Last,05:01,120.0,Foreign Friends,anf,rock,,
130382798.mp3,Hot in Europe (vocal),02:51,127.0,Max Holm,anf,pop,,
49785400.mp3,All You Gotta Do (inst),02:01,122.0,Erloom,All You Gotta Do - Single,nan,"Dance Pop, Teen Pop",
105954812.mp3,LVL 100 (inst),02:00,116.0,PAHLR,Fresh Classix,nan,Pop,
29259694.mp3,Montage,03:09,130.0,Wolfram Gruss,Spoq - Sommerstrasse,nan,Chillout,
29331148.mp3,Chase Labyrinth,04:33,85.0,Wolfram Gruss,Spoq - Cinnamon,nan,Trip Hop,
29594296.mp3,PNFA - Concho,07:21,120.0,Wolfram Gruss,PNFA - Vogue_04,nan,Chillout,
29602708.mp3,PNFA - Cheeks,04:35,115.0,Wolfram Gruss,PNFA - Vogue_03,nan,Trip Hop,
29737108.mp3,Coffee Ins,03:50,120.0,Kage Eheh,Kage Eheh Instrumentals,nan,Chillout,
29744602.mp3,Jah's Light,02:56,121.0,Kage Eheh,Kage Eheh Instrumentals,nan,Chillout,
42214552.mp3,Exultant Future,05:35,109.01,Mokhov,Afterglow Reverie,nan,Chillout,
29010430.mp3,Evening Humidity,07:15,128.0,Sliptide,Sunday Afternoon at the Teahouse,nan,House,
29037172.mp3,The Background,06:24,120.0,Dave Pezzner,Last Night In Utopia,nan,"Ambient Beats, House",
29045020.mp3,Murmur,06:52,119.0,Dave Pezzner,Last Night In Utopia,nan,"Ambient Beats, House",
29052676.mp3,Type Of Submarine,03:14,120.01,Wolfram Gruss,Magnus Moone - Music For Introverted Xenomorphs,nan,Ambient Beats,
29052196.mp3,PNFA - Heartbeat,05:53,122.0,Wolfram Gruss,PNFA - Sylmar,nan,Ethnic Fusion,
29116408.mp3,Its Nice To Meet You,04:27,122.0,Dave Pezzner,Music For Vision and Function Vol. 2,nan,Electro,
29157094.mp3,Without You (Instrumental Mix),05:17,122.0,Daniels Jack,Music Makes Me / Without You,nan,House,
29158756.mp3,Without You (Instrumental Mix) (Dynamic Master),05:17,122.0,Daniels Jack,Music Makes Me / Without You,nan,House,
29206984.mp3,Flipped It,05:39,125.0,Sliptide,Salt & Sun,nan,House,
29208820.mp3,On the Side,05:55,125.0,Sliptide,Salt & Sun,nan,House,
29214004.mp3,Under Cover,07:42,125.0,Sliptide,Salt & Sun,nan,House,
29215066.mp3,Daily Plane,04:12,120.0,Wolfram Gruss,Spoq - Thought Fountain,nan,IDM/Glitch,
29217514.mp3,Lomodyne,06:25,125.0,Wolfram Gruss,Spoq - Thought Fountain,nan,"Ambient Beats, IDM/Glitch",
29271364.mp3,Sodium Amytal,03:33,109.99,Kirill Gramada,Sodium Amytal EP,nan,"Dubstep, Progressive",
29331604.mp3,Galaxies,03:51,122.0,MayTrix,Oasis,nan,"House, Progressive",
29331718.mp3,Super Sun,05:43,120.13,Mokhov,Jupiter Melodies,nan,Electro,
29335882.mp3,Lush Ultra,05:42,120.13,Mokhov,Jupiter Melodies,nan,Electro,
29348806.mp3,Feedback,04:04,120.0,Anton Dakanto,Compilation,nan,House,
